Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
5,0.05,0.95,sample,,,,,,0.049382850963625595
5,0.05,0.5,sample,,,,,,0.4339999655747024
21,0.5,0.5,Semi-supervised,future,0.8095238095238095,0.5906501259183163,0.82,0.83,2.1513434037144226
36,0.5,0.5,Label_spreading,future,1.0,0.8456774991853677,1.0,1.0,2.1908781790846183
32,0.05,0.5,Veenman,future,0.5694444444444444,0.3518636835043284,0.64,0.54,0.8357679004267109
38,0.05,0.0,traditional,future,0.5588235294117647,0.2825710259536761,0.5,0.47,1.061346295727972
2,0.05,0.95,traditional,future,0.08647489726639271,0.3207000992119546,0.6,0.56,1.0019539408689837
18,0.05,0.5,traditional,future,0.13658176448874124,0.24345107033855332,0.48,0.49,1.0192133655060738
23,0.05,0.0,Semi-supervised,future,0.75,0.2082648606829857,0.44,0.41,1.2279297404312117
14,0.5,0.95,sample,,,,,,1.4553539793104673
